2009 Energy Kiosk Project, static/images/slideshow/img1.png, 2009, Description needs to be written in static/csv/projects.csv
2013 Home Lighting Project, static/images/slideshow/img2.png, 2013, Description needs to be written in static/csv/projects.csv
2024 Reconnaisance Expedition, static/images/slideshow/img4.png, 2024, We recently visited Minazi on a reconnaisance to gauge interest in our selection of projects and determine which direction would be best to go next from an objective standpoint.
